time,pdu_id,upf_id,cpu_allocated,observed_latency,required_cpu,required_max_latency,status,event
29.41,3,2.0,79.51041836734696,0.48999999999999994,79.51041836734696,0.49,SATISFIED,REBALANCE
29.41,15,2.0,53.49218918918919,0.74,53.49218918918919,0.74,SATISFIED,REBALANCE
29.41,18,2.0,52.69311885245902,0.61,52.69311885245902,0.61,SATISFIED,REBALANCE
29.41,34,2.0,68.61042924528302,0.53,68.61042924528302,0.53,SATISFIED,REBALANCE
30.45,19,0.0,66.73568214285716,0.6999999999999998,,0.7,SATISFIED,TERMINATE
30.45,1,0.0,39.25727173913044,0.69,39.25727173913044,0.69,SATISFIED,REBALANCE
30.45,6,0.0,44.80635080645161,0.62,44.80635080645161,0.62,SATISFIED,REBALANCE
30.45,21,0.0,59.85434451219513,0.82,59.85434451219513,0.82,SATISFIED,REBALANCE
30.45,22,0.0,30.48658132530121,0.83,30.48658132530121,0.83,SATISFIED,REBALANCE
30.45,23,0.0,60.05728048780489,0.82,60.05728048780489,0.82,SATISFIED,REBALANCE
30.45,24,0.0,34.77199666666667,0.75,34.77199666666667,0.75,SATISFIED,REBALANCE
30.45,25,0.0,57.65680182926829,0.82,57.65680182926829,0.82,SATISFIED,REBALANCE
30.45,26,0.0,62.610700819672125,0.61,62.610700819672125,0.61,SATISFIED,REBALANCE
30.45,27,0.0,75.4910909090909,0.66,75.4910909090909,0.66,SATISFIED,REBALANCE
30.45,28,0.0,28.55842021276596,0.94,28.55842021276596,0.94,SATISFIED,REBALANCE
30.45,29,0.0,66.97647844827586,0.58,66.97647844827586,0.58,SATISFIED,REBALANCE
30.45,30,0.0,63.11866987179487,0.78,63.11866987179487,0.78,SATISFIED,REBALANCE
31.71,35,3.0,0.0,inf,107.07619078947369,0.38,UNSATISFIED,START
33.36,36,3.0,0.0,inf,73.34788425925926,0.54,UNSATISFIED,START
33.72,37,3.0,0.0,inf,54.630977011494245,0.87,UNSATISFIED,START
33.83,38,3.0,0.0,inf,63.746731707317075,0.41,UNSATISFIED,START
34.98,39,3.0,0.0,inf,52.4984918032787,0.61,UNSATISFIED,START
35.56,40,3.0,0.0,inf,53.582733516483515,0.91,UNSATISFIED,START
35.69,41,3.0,0.0,inf,87.51221296296296,0.54,UNSATISFIED,START
36.0,36,3.0,0.0,inf,,0.54,UNSATISFIED,TERMINATE
36.0,4,3.0,46.240974025974026,0.77,46.240974025974026,0.77,SATISFIED,REBALANCE
36.0,7,3.0,57.4086576923077,0.65,57.4086576923077,0.65,SATISFIED,REBALANCE
36.0,13,3.0,67.59058606557377,0.61,67.59058606557377,0.61,SATISFIED,REBALANCE
36.0,17,3.0,52.87963846153846,0.65,52.87963846153846,0.65,SATISFIED,REBALANCE
36.0,35,3.0,107.07619078947369,0.38,107.07619078947369,0.38,SATISFIED,REBALANCE
36.0,37,3.0,54.630977011494245,0.87,54.630977011494245,0.87,SATISFIED,REBALANCE
36.0,38,3.0,63.746731707317075,0.41,63.746731707317075,0.41,SATISFIED,REBALANCE
36.0,39,3.0,52.4984918032787,0.61,52.4984918032787,0.61,SATISFIED,REBALANCE
36.0,40,3.0,53.582733516483515,0.9099999999999999,53.582733516483515,0.91,SATISFIED,REBALANCE
36.0,41,3.0,87.51221296296296,0.54,87.51221296296296,0.54,SATISFIED,REBALANCE
36.37,42,4.0,0.0,inf,42.813435294117646,0.85,UNSATISFIED,START
36.41,43,4.0,0.0,inf,63.2864296875,0.64,UNSATISFIED,START
38.63,29,0.0,66.97647844827586,0.58,,0.58,SATISFIED,TERMINATE
38.63,1,0.0,39.25727173913044,0.69,39.25727173913044,0.69,SATISFIED,REBALANCE
38.63,6,0.0,44.80635080645161,0.62,44.80635080645161,0.62,SATISFIED,REBALANCE
38.63,21,0.0,59.85434451219513,0.82,59.85434451219513,0.82,SATISFIED,REBALANCE
38.63,22,0.0,30.48658132530121,0.83,30.48658132530121,0.83,SATISFIED,REBALANCE
38.63,23,0.0,60.05728048780489,0.82,60.05728048780489,0.82,SATISFIED,REBALANCE
38.63,24,0.0,34.77199666666667,0.75,34.77199666666667,0.75,SATISFIED,REBALANCE
38.63,25,0.0,57.65680182926829,0.82,57.65680182926829,0.82,SATISFIED,REBALANCE
38.63,26,0.0,62.610700819672125,0.61,62.610700819672125,0.61,SATISFIED,REBALANCE
38.63,27,0.0,75.4910909090909,0.66,75.4910909090909,0.66,SATISFIED,REBALANCE
38.63,28,0.0,28.55842021276596,0.94,28.55842021276596,0.94,SATISFIED,REBALANCE
38.63,30,0.0,63.11866987179487,0.78,63.11866987179487,0.78,SATISFIED,REBALANCE
38.81,44,4.0,0.0,inf,65.17251020408163,0.49,UNSATISFIED,START
39.11,45,4.0,0.0,inf,42.432900000000004,0.7,UNSATISFIED,START
39.2,23,0.0,60.05728048780489,0.82,,0.82,SATISFIED,TERMINATE
39.2,1,0.0,39.25727173913044,0.69,39.25727173913044,0.69,SATISFIED,REBALANCE
39.2,6,0.0,44.80635080645161,0.62,44.80635080645161,0.62,SATISFIED,REBALANCE
39.2,21,0.0,59.85434451219513,0.82,59.85434451219513,0.82,SATISFIED,REBALANCE
39.2,22,0.0,30.48658132530121,0.83,30.48658132530121,0.83,SATISFIED,REBALANCE
39.2,24,0.0,34.77199666666667,0.75,34.77199666666667,0.75,SATISFIED,REBALANCE
39.2,25,0.0,57.65680182926829,0.82,57.65680182926829,0.82,SATISFIED,REBALANCE
39.2,26,0.0,62.610700819672125,0.61,62.610700819672125,0.61,SATISFIED,REBALANCE
39.2,27,0.0,75.4910909090909,0.66,75.4910909090909,0.66,SATISFIED,REBALANCE
39.2,28,0.0,28.55842021276596,0.94,28.55842021276596,0.94,SATISFIED,REBALANCE
39.2,30,0.0,63.11866987179487,0.78,63.11866987179487,0.78,SATISFIED,REBALANCE
39.78,21,0.0,59.85434451219513,0.82,,0.82,SATISFIED,TERMINATE
39.78,1,0.0,39.25727173913044,0.69,39.25727173913044,0.69,SATISFIED,REBALANCE
39.78,6,0.0,44.80635080645161,0.62,44.80635080645161,0.62,SATISFIED,REBALANCE
39.78,22,0.0,30.48658132530121,0.83,30.48658132530121,0.83,SATISFIED,REBALANCE
39.78,24,0.0,34.77199666666667,0.75,34.77199666666667,0.75,SATISFIED,REBALANCE
39.78,25,0.0,57.65680182926829,0.82,57.65680182926829,0.82,SATISFIED,REBALANCE
39.78,26,0.0,62.610700819672125,0.61,62.610700819672125,0.61,SATISFIED,REBALANCE
39.78,27,0.0,75.4910909090909,0.66,75.4910909090909,0.66,SATISFIED,REBALANCE
39.78,28,0.0,28.55842021276596,0.94,28.55842021276596,0.94,SATISFIED,REBALANCE
39.78,30,0.0,63.11866987179487,0.78,63.11866987179487,0.78,SATISFIED,REBALANCE
40.19,46,4.0,0.0,inf,45.740575,0.8,UNSATISFIED,START
40.57,47,4.0,0.0,inf,37.59311666666667,0.9,UNSATISFIED,START
41.3,48,4.0,0.0,inf,46.036514534883715,0.86,UNSATISFIED,START
42.06,32,1.0,61.71964393939393,0.66,,0.66,SATISFIED,TERMINATE
42.06,2,1.0,56.959836538461545,0.78,56.959836538461545,0.78,SATISFIED,REBALANCE
42.06,8,1.0,38.89821538461538,0.65,38.89821538461538,0.65,SATISFIED,REBALANCE
42.06,31,1.0,44.79699411764706,0.8499999999999999,44.79699411764706,0.85,SATISFIED,REBALANCE
42.09,49,1.0,0.0,inf,29.937072222222227,0.9,UNSATISFIED,START
42.3,50,1.0,0.0,inf,83.6607966101695,0.59,UNSATISFIED,START
43.01,31,1.0,64.57864543740573,0.5896290444324571,,0.85,SATISFIED,TERMINATE
43.01,2,1.0,56.959836538461545,0.78,56.959836538461545,0.78,SATISFIED,REBALANCE
43.01,8,1.0,38.89821538461538,0.65,38.89821538461538,0.65,SATISFIED,REBALANCE
43.01,49,1.0,29.937072222222227,0.9,29.937072222222227,0.9,SATISFIED,REBALANCE
43.01,50,1.0,83.6607966101695,0.59,83.6607966101695,0.59,SATISFIED,REBALANCE
43.39,40,3.0,53.582733516483515,0.9099999999999999,,0.91,SATISFIED,TERMINATE
43.39,4,3.0,46.240974025974026,0.77,46.240974025974026,0.77,SATISFIED,REBALANCE
43.39,7,3.0,57.4086576923077,0.65,57.4086576923077,0.65,SATISFIED,REBALANCE
43.39,13,3.0,67.59058606557377,0.61,67.59058606557377,0.61,SATISFIED,REBALANCE
43.39,17,3.0,52.87963846153846,0.65,52.87963846153846,0.65,SATISFIED,REBALANCE
43.39,35,3.0,107.07619078947369,0.38,107.07619078947369,0.38,SATISFIED,REBALANCE
43.39,37,3.0,54.630977011494245,0.87,54.630977011494245,0.87,SATISFIED,REBALANCE
43.39,38,3.0,63.746731707317075,0.41,63.746731707317075,0.41,SATISFIED,REBALANCE
43.39,39,3.0,52.4984918032787,0.61,52.4984918032787,0.61,SATISFIED,REBALANCE
43.39,41,3.0,87.51221296296296,0.54,87.51221296296296,0.54,SATISFIED,REBALANCE
43.43,13,3.0,67.59058606557377,0.61,,0.61,SATISFIED,TERMINATE
43.43,4,3.0,46.240974025974026,0.77,46.240974025974026,0.77,SATISFIED,REBALANCE
43.43,7,3.0,57.4086576923077,0.65,57.4086576923077,0.65,SATISFIED,REBALANCE
43.43,17,3.0,52.87963846153846,0.65,52.87963846153846,0.65,SATISFIED,REBALANCE
43.43,35,3.0,107.07619078947369,0.38,107.07619078947369,0.38,SATISFIED,REBALANCE
43.43,37,3.0,54.630977011494245,0.87,54.630977011494245,0.87,SATISFIED,REBALANCE
43.43,38,3.0,63.746731707317075,0.41,63.746731707317075,0.41,SATISFIED,REBALANCE
43.43,39,3.0,52.4984918032787,0.61,52.4984918032787,0.61,SATISFIED,REBALANCE
43.43,41,3.0,87.51221296296296,0.54,87.51221296296296,0.54,SATISFIED,REBALANCE
44.34,18,2.0,52.69311885245902,0.61,,0.61,SATISFIED,TERMINATE
44.34,3,2.0,79.51041836734696,0.48999999999999994,79.51041836734696,0.49,SATISFIED,REBALANCE
44.34,15,2.0,53.49218918918919,0.74,53.49218918918919,0.74,SATISFIED,REBALANCE
44.34,34,2.0,68.61042924528302,0.53,68.61042924528302,0.53,SATISFIED,REBALANCE
44.86,7,3.0,57.4086576923077,0.65,,0.65,SATISFIED,TERMINATE
44.86,4,3.0,46.240974025974026,0.77,46.240974025974026,0.77,SATISFIED,REBALANCE
44.86,17,3.0,52.87963846153846,0.65,52.87963846153846,0.65,SATISFIED,REBALANCE
44.86,35,3.0,107.07619078947369,0.38,107.07619078947369,0.38,SATISFIED,REBALANCE
44.86,37,3.0,54.630977011494245,0.87,54.630977011494245,0.87,SATISFIED,REBALANCE
44.86,38,3.0,63.746731707317075,0.41,63.746731707317075,0.41,SATISFIED,REBALANCE
44.86,39,3.0,52.4984918032787,0.61,52.4984918032787,0.61,SATISFIED,REBALANCE
44.86,41,3.0,87.51221296296296,0.54,87.51221296296296,0.54,SATISFIED,REBALANCE
44.88,26,0.0,62.610700819672125,0.61,,0.61,SATISFIED,TERMINATE
44.88,1,0.0,39.25727173913044,0.69,39.25727173913044,0.69,SATISFIED,REBALANCE
44.88,6,0.0,44.80635080645161,0.62,44.80635080645161,0.62,SATISFIED,REBALANCE
44.88,22,0.0,30.48658132530121,0.83,30.48658132530121,0.83,SATISFIED,REBALANCE
44.88,24,0.0,34.77199666666667,0.75,34.77199666666667,0.75,SATISFIED,REBALANCE
44.88,25,0.0,57.65680182926829,0.82,57.65680182926829,0.82,SATISFIED,REBALANCE
44.88,27,0.0,75.4910909090909,0.66,75.4910909090909,0.66,SATISFIED,REBALANCE
44.88,28,0.0,28.55842021276596,0.94,28.55842021276596,0.94,SATISFIED,REBALANCE
44.88,30,0.0,63.11866987179487,0.78,63.11866987179487,0.78,SATISFIED,REBALANCE
45.79,51,4.0,0.0,inf,90.28230454545454,0.55,UNSATISFIED,START
47.28,52,4.0,0.0,inf,49.945932352941185,0.85,UNSATISFIED,START
48.67,39,3.0,52.4984918032787,0.61,,0.61,SATISFIED,TERMINATE
48.67,4,3.0,46.240974025974026,0.77,46.240974025974026,0.77,SATISFIED,REBALANCE
48.67,17,3.0,52.87963846153846,0.65,52.87963846153846,0.65,SATISFIED,REBALANCE
48.67,35,3.0,107.07619078947369,0.38,107.07619078947369,0.38,SATISFIED,REBALANCE
48.67,37,3.0,54.630977011494245,0.87,54.630977011494245,0.87,SATISFIED,REBALANCE
